Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	171.311439720	251.092843864	658.635	1365.462	75.3000	1281.250	short.argus
2	Spectrogram 1	1	1140.928949055	1153.224028461	449.799	1429.719	8.9000	1273.438	female.gibbon
3	Spectrogram 1	1	1230.546416724	1241.202152209	514.056	1333.333	9.6000	1187.500	female.gibbon
4	Spectrogram 1	1	1324.535468181	1336.830547587	594.378	1381.526	7.4000	1195.312	female.gibbon
5	Spectrogram 1	1	1315.792300603	1350.218522939	658.635	1365.462	28.2500	1218.750	short.argus
6	Spectrogram 1	1	1408.469933174	1421.584684540	514.056	1381.526	9.9500	1242.188	female.gibbon
7	Spectrogram 1	1	2043.551880578	2073.333295139	658.635	1220.884	27.8000	1148.438	short.argus
8	Spectrogram 1	1	2297.978113331	2381.311429303	674.699	1172.691	77.0000	1132.812	short.argus
9	Spectrogram 1	1	2551.584674123	2589.016360314	642.570	1253.012	34.9500	1156.250	short.argus
10	Spectrogram 1	1	2834.699425490	2885.519087033	642.570	1317.269	48.5000	1195.312	short.argus
11	Spectrogram 1	1	3579.945340619	3626.666642361	626.506	1220.884	42.9500	1148.438	short.argus
12	Spectrogram 1	1	3450.655693818	3474.699404656	610.442	1333.333	19.9000	1242.188	short.argus
13	Spectrogram 1	1	4516.721270492	4526.010886043	562.249	1317.269	7.2000	1171.875	female.gibbon
14	Spectrogram 1	1	4551.147492828	4564.262244194	578.313	1365.462	8.9500	1281.250	female.gibbon
15	Spectrogram 1	1	4616.229502732	4628.797806125	497.992	1301.205	7.8000	1179.688	female.gibbon
16	Spectrogram 1	1	4672.786867999	4688.087411259	497.992	1365.462	10.0000	1242.188	female.gibbon
17	Spectrogram 1	1	4741.912536658	4755.027288024	497.992	1349.398	8.8500	1148.438	female.gibbon
18	Spectrogram 1	1	4807.759517475	4822.513612762	497.992	1301.205	8.2500	1140.625	female.gibbon
19	Spectrogram 1	1	4887.868846653	4899.890702072	562.249	1349.398	8.5500	1234.375	female.gibbon
20	Spectrogram 1	1	4950.163915642	4963.551890995	546.185	1397.590	10.0500	1359.375	female.gibbon
21	Spectrogram 1	1	5026.666631944	5041.147503245	562.249	1349.398	10.1500	1312.500	female.gibbon
22	Spectrogram 1	1	5115.737651639	5130.218522939	546.185	1301.205	9.5500	1234.375	female.gibbon
23	Spectrogram 1	1	5192.021845002	5205.956268329	497.992	1333.333	10.2000	1296.875	female.gibbon
24	Spectrogram 1	1	5269.071009278	5283.005432605	610.442	1429.719	12.4500	1406.250	female.gibbon
25	Spectrogram 1	1	5267.431665357	5296.666631944	176.707	1574.297	23.8000	1554.688	rhino
26	Spectrogram 1	1	5447.540973702	5462.568292976	449.799	1333.333	11.0500	1281.250	female.gibbon
