Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	739.453510360	753.387933686	584.270	1438.202	9.5000	1085.938	female.gibbon
2	Spectrogram 1	1	774.950185241	788.338160594	476.190	1587.302	10.1500	1164.062	female.gibbon
3	Spectrogram 1	1	813.474767379	822.491158944	444.444	1476.190	6.9500	1250.000	female.gibbon
4	Spectrogram 1	1	839.781414561	850.983598019	539.683	1460.317	8.0000	1156.250	female.gibbon
5	Spectrogram 1	1	858.989001309	866.092824966	634.921	1378.685	4.9000	1203.125	female.gibbon
6	Spectrogram 1	1	892.240420025	902.896155510	555.556	1507.937	8.1000	1281.250	female.gibbon
7	Spectrogram 1	1	902.486316257	912.322379781	453.515	1560.091	9.0500	1382.812	female.gibbon
8	Spectrogram 1	1	941.967185622	956.721280908	523.810	1492.063	9.5500	1226.562	female.gibbon
9	Spectrogram 1	1	982.677559654	994.699415073	507.937	1492.063	9.0500	1320.312	female.gibbon
10	Spectrogram 1	1	1005.081926571	1017.923453950	539.683	1523.810	9.4000	1117.188	female.gibbon
11	Spectrogram 1	1	1035.546397826	1044.562789390	471.655	1306.122	7.2500	1210.938	female.gibbon
12	Spectrogram 1	1	1061.170907690	1077.564346898	539.683	1428.571	10.7000	1117.188	female.gibbon
13	Spectrogram 1	1	1133.825125398	1145.027308857	492.063	1460.317	8.8000	1148.438	female.gibbon
14	Spectrogram 1	1	1188.743146744	1205.409809939	444.444	1476.190	9.9000	1140.625	female.gibbon
15	Spectrogram 1	1	1273.169358663	1286.284110030	555.556	1301.587	7.5000	1101.562	female.gibbon
16	Spectrogram 1	1	1340.042880962	1353.430856315	523.810	1365.079	9.5500	1132.812	female.gibbon
17	Spectrogram 1	1	1412.568292976	1425.956268329	492.063	1555.556	9.4000	1218.750	female.gibbon
18	Spectrogram 1	1	1479.508169740	1494.808713001	476.190	1507.937	9.5500	1179.688	female.gibbon
19	Spectrogram 1	1	1554.098318135	1568.579189435	380.952	1253.968	10.9500	1109.375	female.gibbon
20	Spectrogram 1	1	1605.737651639	1615.573715164	523.810	1396.825	5.6500	1125.000	female.gibbon
21	Spectrogram 1	1	1619.672074966	1631.420706398	476.190	1365.079	8.1500	1195.312	female.gibbon
22	Spectrogram 1	1	1675.486558515	1689.967429816	428.571	1492.063	8.7000	1187.500	female.gibbon
23	Spectrogram 1	1	1751.442826844	1764.011130237	571.429	1492.063	8.3000	1179.688	female.gibbon
24	Spectrogram 1	1	1841.333518500	1854.175045879	603.175	1492.063	11.1000	1132.812	female.gibbon
25	Spectrogram 1	1	1928.000223361	1942.754318648	539.683	1460.317	8.9000	1171.875	female.gibbon
26	Spectrogram 1	1	1993.847204178	2008.328075478	571.429	1380.952	9.3500	1093.750	female.gibbon
27	Spectrogram 1	1	2803.573980191	2868.874513035	476.190	1301.587	55.7500	1054.688	long.argus
28	Spectrogram 1	1	2925.978326275	2985.541155396	698.413	1206.349	55.7500	1171.875	short.argus
29	Spectrogram 1	1	6905.957818249	6913.881313866	0.000	1269.841	7.0500	554.688	hornbill.wing
