Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
14	Spectrogram 1	1	6349.749464099	6425.221146488	578.947	1131.579	281.250	71.0560	750.000	1031.250	6352.4480	6423.5040	short.argus
3	Spectrogram 1	1	815.345910836	838.301880896	311.377	790.419	312.500	17.6400	343.750	656.250	818.0160	835.6560	helmeted
4	Spectrogram 1	1	1057.296611504	1106.982135744	550.898	1173.653	312.500	45.1120	750.000	1062.500	1058.6320	1103.7440	short.argus
5	Spectrogram 1	1	2523.523058635	2591.133107442	646.707	1197.605	312.500	60.5440	781.250	1093.750	2527.0000	2587.5440	short.argus
9	Spectrogram 1	1	4546.541898847	4621.070185207	605.263	1184.211	312.500	66.7280	781.250	1093.750	4549.3440	4616.0720	long.argus
12	Spectrogram 1	1	5580.944424070	5635.975859146	736.842	1184.211	312.500	51.4480	812.500	1125.000	5581.9520	5633.4000	short.argus
15	Spectrogram 1	1	6744.277740042	6794.906660312	631.579	1263.158	312.500	47.5200	812.500	1125.000	6745.8400	6793.3600	short.argus
10	Spectrogram 1	1	4773.145681473	4841.699126310	605.263	1236.842	375.000	55.0000	781.250	1156.250	4782.2000	4837.2000	long.argus
11	Spectrogram 1	1	4869.686541863	4929.434957089	657.895	1236.842	375.000	56.9440	812.500	1187.500	4871.1200	4928.0640	short.argus
13	Spectrogram 1	1	5832.076503472	5877.673978249	236.842	710.526	375.000	38.6480	250.000	625.000	5836.1600	5874.8080	helmeted
1	Spectrogram 1	1	77.044009106	136.477958988	550.898	1317.365	437.500	48.7840	750.000	1187.500	83.5520	132.3360	long.argus
6	Spectrogram 1	1	3047.296590671	3109.749464099	598.802	1341.317	500.000	58.5360	750.000	1250.000	3049.0320	3107.5680	short.argus
2	Spectrogram 1	1	678.050285705	742.830146423	239.521	862.275	531.250	54.8320	250.000	781.250	683.0400	737.8720	helmeted
7	Spectrogram 1	1	3494.529314400	3588.554452044	694.611	1485.030	562.500	87.4000	812.500	1375.000	3497.4240	3584.8240	short.argus
8	Spectrogram 1	1	3689.372097353	3702.579641771	26.316	2789.474	625.000	11.8240	31.250	656.250	3690.0640	3701.8880	macaque
