Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	34.002941957	42.213879645	541.242	1268.718	437.500	6.8640	625.000	1062.500	34.6320	41.4960	female.gibbon
2	Spectrogram 1	1	111.179181314	121.225505074	523.783	1315.277	531.250	7.8000	593.750	1125.000	112.1200	119.9200	female.gibbon
3	Spectrogram 1	1	211.384109908	222.203227803	552.882	1193.061	468.750	8.7200	625.000	1093.750	212.2480	220.9680	female.gibbon
4	Spectrogram 1	1	1064.484721710	1155.468309312	424.846	628.539	156.250	78.4800	437.500	593.750	1075.3040	1153.7840	helmeted
5	Spectrogram 1	1	1389.402743056	1403.610390369	529.603	1239.619	281.250	9.1360	625.000	906.250	1390.7520	1399.8880	female.gibbon
6	Spectrogram 1	1	1425.195085326	1439.675956626	523.783	1262.899	437.500	8.8560	625.000	1062.500	1426.6320	1435.4880	female.gibbon
7	Spectrogram 1	1	1470.823491120	1485.031138434	529.603	1315.277	562.500	11.0480	625.000	1187.500	1472.5040	1483.5520	female.gibbon
8	Spectrogram 1	1	1520.024300387	1532.592603779	547.062	1489.871	781.250	8.9520	625.000	1406.250	1521.4000	1530.3520	female.gibbon
9	Spectrogram 1	1	1557.490195981	1573.337187215	552.882	1344.376	625.000	11.6720	625.000	1250.000	1559.6080	1571.2800	female.gibbon
10	Spectrogram 1	1	1617.599473076	1632.080344376	570.341	1315.277	531.250	10.2240	656.250	1187.500	1619.3120	1629.5360	female.gibbon
11	Spectrogram 1	1	1665.140446778	1677.981974158	506.323	1361.835	562.500	9.1040	625.000	1187.500	1666.6400	1675.7440	female.gibbon
12	Spectrogram 1	1	1733.992891450	1749.293434711	517.963	1291.998	531.250	11.7840	625.000	1156.250	1735.4800	1747.2640	female.gibbon
13	Spectrogram 1	1	1792.462824624	1808.856263832	500.504	1408.394	562.500	10.3680	625.000	1187.500	1793.6480	1804.0160	female.gibbon
14	Spectrogram 1	1	1857.818058515	1873.938273736	517.963	1385.115	531.250	10.2960	625.000	1156.250	1859.8880	1870.1840	female.gibbon
15	Spectrogram 1	1	1935.413670765	1951.807109973	523.783	1356.015	468.750	13.0480	656.250	1125.000	1936.4800	1949.5280	female.gibbon
16	Spectrogram 1	1	2610.841893813	2745.914818021	436.486	1635.366	875.000	111.0640	468.750	1343.750	2628.3200	2739.3840	helmeted
17	Spectrogram 1	1	2961.706645321	3072.362359973	345.572	1745.140	1125.000	76.9040	500.000	1625.000	2992.3360	3069.2400	helmeted
18	Spectrogram 1	1	3294.548162284	3307.662913650	518.359	1313.175	625.000	10.3040	593.750	1218.750	3295.8800	3306.1840	female.gibbon
19	Spectrogram 1	1	3359.575471141	3374.056342441	449.244	1399.568	562.500	10.5040	625.000	1187.500	3361.9680	3372.4720	female.gibbon
20	Spectrogram 1	1	3421.050868169	3435.258515483	535.637	1451.404	531.250	9.2240	656.250	1187.500	3423.5840	3432.8080	female.gibbon
21	Spectrogram 1	1	3472.442348376	3485.283875756	501.080	1485.961	468.750	9.3360	656.250	1125.000	3474.8080	3484.1440	female.gibbon
22	Spectrogram 1	1	3521.925220344	3538.318659551	483.801	1468.683	500.000	11.0160	625.000	1125.000	3524.5280	3535.5440	female.gibbon
23	Spectrogram 1	1	3589.684769069	3603.072744422	466.523	1503.240	593.750	10.2880	625.000	1218.750	3591.6560	3601.9440	female.gibbon
24	Spectrogram 1	1	3656.078197860	3671.378741120	431.965	1555.076	656.250	13.3600	593.750	1250.000	3656.7200	3670.0800	female.gibbon
25	Spectrogram 1	1	3729.029002334	3743.509873634	535.637	1468.683	625.000	12.4160	625.000	1250.000	3729.7760	3742.1920	female.gibbon
26	Spectrogram 1	1	3834.821386270	3851.761273452	501.080	1503.240	687.500	13.1840	593.750	1281.250	3836.2640	3849.4480	female.gibbon
27	Spectrogram 1	1	4009.957961806	4034.602821664	397.408	1676.026	843.750	17.3200	625.000	1468.750	4014.0400	4031.3600	rhino
29	Spectrogram 1	1	4161.231843295	4190.740033868	708.423	1468.683	531.250	26.0560	781.250	1312.500	4163.5120	4189.5680	rhino
28	Spectrogram 1	1	4241.706603654	4253.455235087	466.523	1935.205	937.500	7.5440	656.250	1593.750	4244.0560	4251.6000	rhino
30	Spectrogram 1	1	4305.220884335	4321.887547530	449.244	1468.683	750.000	13.0880	562.500	1312.500	4306.5200	4319.6080	rhino
32	Spectrogram 1	1	4901.368416439	4959.291901639	311.015	777.538	343.750	51.1360	343.750	687.500	4906.3520	4957.4880	helmeted
33	Spectrogram 1	1	5052.515982184	5088.854772427	535.637	967.603	187.500	32.7280	593.750	781.250	5054.5280	5087.2560	noise
34	Spectrogram 1	1	5195.014000902	5251.298142182	328.294	1658.747	625.000	43.5120	531.250	1156.250	5207.2400	5250.7520	rhino
35	Spectrogram 1	1	5268.417632798	5369.783731899	207.343	1866.091	1031.250	85.9440	562.500	1593.750	5282.1680	5368.1120	rhino
36	Spectrogram 1	1	5395.466786658	5414.046017760	155.508	3092.873	1250.000	7.1360	656.250	1906.250	5403.2000	5410.3360	rhino
37	Spectrogram 1	1	6867.652609802	6973.390292691	241.901	1935.205	1125.000	89.8240	406.250	1531.250	6880.1120	6969.9360	helmeted
