Date,Time start,Time end,Call type,Quality,Duration,
20180213,18:12:37,18:52:37,rain,,0:40:00,
20180214,8:53:34,9:04:35,duet,low,0:11:01,
20180214,13:27:34,17:02:36,rain,,3:35:02,
20180215,8:04:35,8:14:34,duet,high,0:09:59,
20180216,8:32:33,9:02:33,duet,low,0:30:00,
20180216,14:02:34,17:07:36,rain,,3:05:02,
20180217,16:17:36,17:37:36,rain,,1:20:00,
20180218,9:18:03,9:26:07,duet,high,0:08:04,
20180220,2:12:31,5:17:31,rain,,3:05:00,
20180221,16:07:36,16:57:36,rain,,0:50:00,
20180222,10:46:44,10:58:37,duet,med,0:11:53,
20180223,7:48:36,8:06:13,duet,med,0:17:37,
20180223,13:07:34,15:02:35,rain,,1:55:01,
20180223,16:47:36,18:57:37,rain,,2:10:01,
20180224,6:09:26,6:16:53,solo,low,0:07:27,
20180224,6:28:59,6:32:18,duet,high,0:03:19,
20180224,12:32:34,20:07:37,rain,,7:35:03,
20180225,0:27:30,5:27:31,rain,,5:00:01,
20180225,8:47:33,16:22:36,rain,,7:35:03,
20180226,4:57:31,9:12:33,rain,,4:15:02,
20180226,15:32:35,16:52:36,rain,,1:20:01,
20180228,7:02:21,7:14:38,duet,high,0:12:17,
20180228,8:17:24,8:38:04,duet,med,0:20:40,
20180228,8:45:08,8:54:58,duet,high,0:09:50,
20180228,15:12:35,17:37:36,rain,,2:25:01,
20180228,20:12:37,23:52:38,rain,,3:40:01,
20180301,0:00:01,12:52:34,rain,,12:52:33,
20180301,17:37:36,23:07:38,rain,,5:30:02,
20180302,5:37:31,5:52:31,rain,,0:15:00,
20180302,8:43:09,9:04:43,duet,high,0:21:34,
20180302,14:42:35,15:17:03,rain,,0:34:28,
20180302,16:52:36,19:52:37,rain,,3:00:01,
20180303,9:42:00,9:52:20,duet,med,0:10:20,Added after LTSA
20180303,12:17:34,19:52:37,rain,,7:35:03,
20180304,7:47:17,7:54:35,duet,high,0:07:18,
20180304,13:07:34,13:32:34,rain,,0:25:00,
20180304,17:02:36,17:47:36,rain,,0:45:00,
20180305,16:07:36,17:47:36,rain,,1:40:00,
20180307,5:50:22,6:17:00,solo,med,0:26:38,
20180307,6:20:06,6:32:12,duet,high,0:12:06,
20180307,7:47:49,8:03:24,duet,med,0:15:35,
20180307,12:37:34,15:42:35,rain,,3:05:01,
20180308,6:18:43,6:31:31,duet,low,0:12:48,
20180308,7:22:33,7:34:35,duet,low,0:12:02,
20180308,8:11:01,8:23:48,duet,high,0:12:47,
20180309,5:27:31,6:07:32,solo,high,0:40:01,
20180309,6:10:34,6:29:01,duet,high,0:18:27,
20180310,15:17:35,17:12:36,rain,,1:55:01,
20180312,19:07:37,21:22:37,rain,,2:15:00,
20180313,2:22:31,2:42:31,rain,,0:20:00,
20180313,8:32:52,8:46:34,duet,high,0:13:42,
20180313,7:50:21,7:53:24,duet,low,0:03:03,
20180313,17:12:36,17:47:36,rain,,0:35:00,
20180313,23:57:38,23:59:59,rain,,0:02:21,
20180314,8:00:00,8:09:20,duet,low,0:09:20,Added after LTSA
20180314,18:22:37,19:07:37,rain,,0:45:00,
20180315,16:57:36,20:12:37,rain,,3:15:01,
20180316,9:41:40,9:48:49,duet,high,0:07:09,
20180316,19:07:37,21:57:37,rain,,2:50:00,
20180317,0:57:30,2:02:30,rain,,1:05:00,
20180317,6:43:50,6:57:29,duet,low,0:13:39,
20180317,8:22:36,8:51:54,duet,med,0:29:18,
20180318,13:27:34,16:37:36,rain,,3:10:02,
20180319,12:32:34,13:02:34,rain,,0:30:00,
20180319,15:02:35,15:52:35,rain,,0:50:00,
20180320,7:32:44,7:49:31,duet,high,0:16:47,
20180321,5:45:48,6:12:58,solo,med,0:27:10,
20180321,6:12:58,7:12:32,rain,,0:59:34,
20180321,7:50:01,8:04:36,duet,high,0:14:35,
20180321,9:07:33,10:17:34,rain,,1:10:01,
20180321,12:37:34,14:52:35,rain,,2:15:01,
20180322,8:19:11,8:30:37,duet,high,0:11:26,
20180322,16:32:36,18:17:37,rain,,1:45:01,
20180323,4:27:31,6:22:32,rain,,1:55:01,
20180323,16:57:36,18:22:37,rain,,1:25:01,
20180324,13:17:35,21:37:38,rain,,8:20:03,
