Date,Time start,Time end,Call type,Quality,Duration
20180214,7:07:32,7:22:32,duet,low,0:15:00
20180214,7:38:07,7:42:01,duet,high,0:03:54
20180214,7:44:03,8:05:34,duet,low,0:21:31
20180214,8:23:12,8:32:43,duet,med,0:09:31
20180214,14:42:35,16:52:36,rain,,2:10:01
20180214,6:02:31,6:37:32,solo,high,0:35:01
20180216,13:42,17:12:36,rain,,3:30:36
20180217,16:17:36,19:07:36,rain,,2:50:00
20180218,8:44:07,8:57:03,duet,high,0:12:56
20180218,6:07:32,7:02:32,solo,high,0:55:00
20180221,5:37:33,6:33:17,solo,med,0:55:44
20180223,12:57:34,13:27:34,rain,,0:30:00
20180223,14:02:34,15:12:35,rain,,1:10:01
20180223,16:42:46,17:42:36,rain,,0:59:50
20180224,12:32:34,13:27:34,rain,,0:55:00
20180224,14:42:35,16:07:36,rain,,1:25:01
20180224,17:52:36,19:57:37,rain,,2:05:01
20180225,0:22:30,2:02:30,rain,,1:40:00
20180225,8:47:33,16:17:36,rain,,7:30:03
20180226,15:37:35,16:32:36,rain,,0:55:01
20180228,15:12:35,17:57:36,rain,,2:45:01
20180228,20:12:37,20:52:37,rain,,0:40:00
20180301,17:37:36,22:37:28,rain,,4:59:52
20180302,16:52:36,23:59,rain,,7:06:24
20180303,12:27:34,16:37:36,rain,,4:10:02
20180304,13:07:34,13:32:34,rain,,0:25:00
20180304,16:57:56,17:47:35,rain,,0:49:39
20180306,6:34:49,6:52:25,solo,high,0:17:36
20180307,13:32:34,15:52:35,rain,,2:20:01
20180308,5:32:31,7:12:32,rain,,1:40:01
20180308,12:42:34,15:27:35,rain,,2:45:01
20180309,7:08:29,7:16:59,duet,med,0:08:30
20180310,7:35:31,7:51:46,duet,med,0:16:15
20180310,15:12:35,17:07:36,rain,,1:55:01
20180311,7:51:24,8:02:40,duet,high,0:11:16
20180311,8:33:44,8:41:56,duet,high,0:08:12
20180312,7:23:59,7:34:28,duet,high,0:10:29
20180312,19:07:37,21:27:37,rain,,2:20:00
20180312,5:38:37,6:37:32,solo,high,0:58:55
20180313,8:15:48,8:35:32,duet,low,0:19:44
20180313,17:12:36,17:52:36,rain,,0:40:00
20180314,8:28:35,8:30:32,duet,med,0:01:57
20180314,18:32:37,19:12:37,rain,,0:40:00
20180315,17:02:36,22:12:38,rain,,5:10:02
20180316,19:12:37,22:17:38,rain,,3:05:01
20180317,8:27:34,8:37:29,duet,low,0:09:55
20180317,1:07:30,2:12:31,rain,,1:05:01
20180318,13:27:34,16:37:36,rain,,3:10:02
20180319,15:02:35,16:17:36,rain,,1:15:01
20180321,6:02:31,7:32:32,rain,,1:30:01
20180321,9:17:33,10:27:34,rain,,1:10:01
20180321,12:32:34,14:57:35,rain,,2:25:01
20180321,5:33:31,6:02:31,solo,med,0:29:00
20180322,16:17:36,18:17:37,rain,,2:00:01
20180322,5:54:12,6:22:32,solo,low,0:28:20
20180323,4:47:34,7:22:32,rain,,2:34:58
20180324,13:27,23:59,rain,,10:32:00
20180325,0:00:01,23:59,rain,,23:58:59
20180326,0:00:01,6:12,rain,,6:11:59
20180326,9:22:33,23:59,rain,,14:36:27
20180328,12:37,15:37,rain,,3:00:00
20180329,22:22:38,23:59,rain,,1:36:22
20180329,0:00:01,3:57,rain,,3:56:59
20180329,5:32:31,6:47:32,rain,,1:15:01
20180329,17:22:36,23:59,rain,,6:36:24
20180330,0:00:01,8:37:33,rain,,8:37:32
20180403,7:35:31,7:48:52,duet,high,0:13:21
20180403,13:42:31,13:47:34,rain,,0:05:03
20180403,17:17:36,20:02:36,rain,,2:45:00
20180403,6:18:46,7:33:41,solo,high,1:14:55
20180404,0:00:01,20:02:36,rain,,20:02:35
20180405,7:27:55,7:35:36,duet,low,0:07:41
20180405,5:17:32,6:14:05,solo,low,0:56:33
20180405,6:18:58,6:39:04,solo,low,0:20:06
20180406,7:21:29,7:31:30,duet,high,0:10:01
20180407,17:32,17:42,rain,,0:10:00
20180408,16:37:36,18:37:36,rain,,2:00:00
20180408,5:39:47,6:10:49,solo,med,0:31:02
20180410,13:02:04,13:27:34,rain,,0:25:30
20180411,7:30:50,7:41:07,duet,low,0:10:17
20180411,13:42:34,18:57:36,rain,,5:15:02
20180412,11:12:34,15:37:35,rain,,4:25:01
20180415,7:17:32,7:32:32,duet,high,0:15:00
20180415,5:37:31,5:52:31,solo,high,0:15:00
20180423,7:20:33,7:33:31,duet,high,0:12:58
20180423,5:22:31,6:32:26,solo,high,1:09:55
20180426,6:52:32,7:22:32,duet,high,0:30:00
20180426,5:37:31,6:17:32,solo,high,0:40:01
20180427,7:12:32,7:37:32,duet,high,0:25:00
20180428,5:42:31,6:16:46,solo,high,0:34:15
20180501,7:17:32,7:42:32,duet,med,0:25:00
20180501,5:42:31,6:17:32,solo,high,0:35:01
20180505,7:22:32,7:52:32,duet,low,0:30:00
20180505,5:12:31,6:13:10,solo,high,1:00:39
20180512,5:32:31,6:02:31,solo,med,0:30:00
20180513,9:01:16,9:12:22,duet,low,0:11:06
20180515,6:49:57,6:57:07,duet,low,0:07:10
20180515,9:32:33,10:03:11,solo,high,0:30:38
20180516,5:02:31,6:27:32,solo,med,1:25:01
20180518,7:42:32,8:02:32,duet,high,0:20:00
20180518,8:56:16,9:06:36,duet,high,0:10:20
20180518,5:27:31,6:02:32,solo,med,0:35:01
20180624,7:02:32,7:32:32,duet,low,0:30:00
201080220,2:12:31,2:57:31,rain,,0:45:00
