Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	3.22	13.8	500	1600	S10_20180424_060002	SVM	0.042	female.gibbon
2	Spectrogram 1	1	29.041	44.962	500	1600	S10_20180424_060002	SVM	0.004	female.gibbon
3	Spectrogram 1	1	47.232	53.552	500	1600	S10_20180424_060002	SVM	0.002	female.gibbon
4	Spectrogram 1	1	77.203	94.933	500	1600	S10_20180424_060002	SVM	0.0045	female.gibbon
5	Spectrogram 1	1	341.401	347.012	500	1600	S10_20180424_060002	SVM	0.002	female.gibbon
6	Spectrogram 1	1	350.122	367.072	500	1600	S10_20180424_060002	SVM	0.002	female.gibbon
7	Spectrogram 1	1	390.603	406.874	500	1600	S10_20180424_060002	SVM	0	female.gibbon
8	Spectrogram 1	1	522.817	530.038	500	1600	S10_20180424_060002	SVM	0.003	female.gibbon
9	Spectrogram 1	1	578.659	583.81	500	1600	S10_20180424_060002	SVM	0	female.gibbon
10	Spectrogram 1	1	650.712	659.032	500	1600	S10_20180424_060002	SVM	0	female.gibbon
11	Spectrogram 1	1	902.85	908.95	500	1600	S10_20180424_060002	SVM	0.002	female.gibbon
12	Spectrogram 1	1	1092.376	1098.427	500	1600	S10_20180424_060002	SVM	0	female.gibbon
13	Spectrogram 1	1	1176.529	1185.55	500	1600	S10_20180424_060002	SVM	0	female.gibbon
14	Spectrogram 1	1	1191.46	1205.67	500	1600	S10_20180424_060002	SVM	0	female.gibbon
15	Spectrogram 1	1	1288.473	1298.733	500	1600	S10_20180424_060002	SVM	0	female.gibbon
16	Spectrogram 1	1	1300.403	1306.584	500	1600	S10_20180424_060002	SVM	0	female.gibbon
17	Spectrogram 1	1	1445.918	1454.419	500	1600	S10_20180424_060002	SVM	0	female.gibbon
18	Spectrogram 1	1	1529.701	1538.541	500	1600	S10_20180424_060002	SVM	0	female.gibbon
19	Spectrogram 1	1	1540.031	1545.352	500	1600	S10_20180424_060002	SVM	0	female.gibbon
20	Spectrogram 1	1	1652.225	1659.065	500	1600	S10_20180424_060002	SVM	0	female.gibbon
21	Spectrogram 1	1	1678.036	1683.416	500	1600	S10_20180424_060002	SVM	0.003	female.gibbon
22	Spectrogram 1	1	1720.617	1729.248	500	1600	S10_20180424_060002	SVM	0	female.gibbon
23	Spectrogram 1	1	1856.542	1868.772	500	1600	S10_20180424_060002	SVM	0	female.gibbon
24	Spectrogram 1	1	1941.115	1946.935	500	1600	S10_20180424_060002	SVM	0.006	female.gibbon
25	Spectrogram 1	1	1957.035	1962.245	500	1600	S10_20180424_060002	SVM	0	female.gibbon
26	Spectrogram 1	1	1998.847	2009.847	500	1600	S10_20180424_060002	SVM	0	female.gibbon
27	Spectrogram 1	1	2124.951	2135.681	500	1600	S10_20180424_060002	SVM	0	female.gibbon
28	Spectrogram 1	1	2171.432	2177.583	500	1600	S10_20180424_060002	SVM	0	female.gibbon
29	Spectrogram 1	1	2275.046	2292.366	500	1600	S10_20180424_060002	SVM	0	female.gibbon
