Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	144.895	151.205	500	1600	S17_20180306_080003	SVM	0.316	female.gibbon
2	Spectrogram 1	1	144.895	151.205	500	1600	S17_20180306_080003	RF	0.19	female.gibbon
3	Spectrogram 1	1	189.036	197.517	500	1600	S17_20180306_080003	SVM	0.163	female.gibbon
4	Spectrogram 1	1	189.036	197.517	500	1600	S17_20180306_080003	RF	0.21	female.gibbon
5	Spectrogram 1	1	207.587	213.697	500	1600	S17_20180306_080003	SVM	0.432	female.gibbon
6	Spectrogram 1	1	207.587	213.697	500	1600	S17_20180306_080003	RF	0.244	female.gibbon
7	Spectrogram 1	1	440.565	446.675	500	1600	S17_20180306_080003	SVM	0.157	female.gibbon
8	Spectrogram 1	1	440.565	446.675	500	1600	S17_20180306_080003	RF	0.17	female.gibbon
9	Spectrogram 1	1	531.388	540.128	500	1600	S17_20180306_080003	SVM	0.537	female.gibbon
10	Spectrogram 1	1	531.388	540.128	500	1600	S17_20180306_080003	RF	0.304	female.gibbon
11	Spectrogram 1	1	546.468	568.409	500	1600	S17_20180306_080003	SVM	0.376	female.gibbon
12	Spectrogram 1	1	546.468	568.409	500	1600	S17_20180306_080003	RF	0.214	female.gibbon
13	Spectrogram 1	1	577.729	585.24	500	1600	S17_20180306_080003	SVM	0.271	female.gibbon
14	Spectrogram 1	1	577.729	585.24	500	1600	S17_20180306_080003	RF	0.294	female.gibbon
15	Spectrogram 1	1	610.13	615.911	500	1600	S17_20180306_080003	SVM	0.486	female.gibbon
16	Spectrogram 1	1	610.13	615.911	500	1600	S17_20180306_080003	RF	0.236	female.gibbon
17	Spectrogram 1	1	624.781	634.311	500	1600	S17_20180306_080003	SVM	0.472	female.gibbon
18	Spectrogram 1	1	624.781	634.311	500	1600	S17_20180306_080003	RF	0.372	female.gibbon
19	Spectrogram 1	1	702.883	710.204	500	1600	S17_20180306_080003	SVM	0.135	female.gibbon
20	Spectrogram 1	1	702.883	710.204	500	1600	S17_20180306_080003	RF	0.192	female.gibbon
21	Spectrogram 1	1	900	905.08	500	1600	S17_20180306_080003	SVM	0.2	female.gibbon
22	Spectrogram 1	1	900	905.08	500	1600	S17_20180306_080003	RF	0.222	female.gibbon
23	Spectrogram 1	1	908.06	915.181	500	1600	S17_20180306_080003	SVM	0.345	female.gibbon
24	Spectrogram 1	1	908.06	915.181	500	1600	S17_20180306_080003	RF	0.208	female.gibbon
25	Spectrogram 1	1	929.211	949.682	500	1600	S17_20180306_080003	SVM	0.185	female.gibbon
26	Spectrogram 1	1	929.211	949.682	500	1600	S17_20180306_080003	RF	0.231	female.gibbon
27	Spectrogram 1	1	964.522	985.413	500	1600	S17_20180306_080003	SVM	0.178	female.gibbon
28	Spectrogram 1	1	964.522	985.413	500	1600	S17_20180306_080003	RF	0.219	female.gibbon
29	Spectrogram 1	1	996.303	1001.793	500	1600	S17_20180306_080003	SVM	0.544	female.gibbon
30	Spectrogram 1	1	996.303	1001.793	500	1600	S17_20180306_080003	RF	0.25	female.gibbon
31	Spectrogram 1	1	1026.124	1036.255	500	1600	S17_20180306_080003	SVM	0.351	female.gibbon
32	Spectrogram 1	1	1026.124	1036.255	500	1600	S17_20180306_080003	RF	0.458	female.gibbon
